INFO 2025-03-18 01:35:01,905 autoreload 27745 8226224192 Watching for file changes with StatReloader
WARNING 2025-03-18 01:52:40,576 log 27914 6159118336 Forbidden: /api/cars/
WARNING 2025-03-18 01:52:40,576 basehttp 27914 6142291968 "GET /api/cars/ HTTP/1.1" 403 58
WARNING 2025-03-18 01:52:40,577 basehttp 27914 6159118336 "GET /api/cars/ HTTP/1.1" 403 58
WARNING 2025-03-18 01:52:43,919 log 27914 6159118336 Forbidden: /api/myaccount/
WARNING 2025-03-18 01:52:43,920 log 27914 6142291968 Forbidden: /api/myaccount/
WARNING 2025-03-18 01:52:43,920 basehttp 27914 6142291968 "GET /api/myaccount/ HTTP/1.1" 403 58
WARNING 2025-03-18 01:52:43,921 basehttp 27914 6159118336 "GET /api/myaccount/ HTTP/1.1" 403 58
INFO 2025-03-18 01:52:44,963 basehttp 27914 6159118336 "POST /api/logout/ HTTP/1.1" 200 37
INFO 2025-03-18 01:52:44,982 basehttp 27914 6175944704 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 01:52:44,983 basehttp 27914 6175944704 "GET /api/movies/ HTTP/1.1" 200 393
WARNING 2025-03-18 01:55:20,352 log 27914 6125465600 Bad Request: /api/users/create
WARNING 2025-03-18 01:55:20,353 basehttp 27914 6125465600 "POST /api/users/create HTTP/1.1" 400 66
WARNING 2025-03-18 01:55:36,851 log 27914 6125465600 Bad Request: /api/users/create
WARNING 2025-03-18 01:55:36,852 basehttp 27914 6125465600 "POST /api/users/create HTTP/1.1" 400 66
WARNING 2025-03-18 01:55:37,542 log 27914 6125465600 Bad Request: /api/users/create
WARNING 2025-03-18 01:55:37,543 basehttp 27914 6125465600 "POST /api/users/create HTTP/1.1" 400 66
WARNING 2025-03-18 01:55:37,740 log 27914 6125465600 Bad Request: /api/users/create
WARNING 2025-03-18 01:55:37,741 basehttp 27914 6125465600 "POST /api/users/create HTTP/1.1" 400 66
INFO 2025-03-18 01:55:42,795 basehttp 27914 6125465600 "POST /api/users/create HTTP/1.1" 201 159
INFO 2025-03-18 01:55:45,080 basehttp 27914 6125465600 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 01:55:45,081 basehttp 27914 6125465600 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 01:58:45,451 basehttp 27914 6125465600 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 01:58:45,452 basehttp 27914 6125465600 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 01:58:46,369 basehttp 27914 6125465600 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 01:58:46,371 basehttp 27914 6125465600 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 01:58:46,509 basehttp 27914 6125465600 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 01:58:46,510 basehttp 27914 6125465600 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 01:58:46,669 basehttp 27914 6125465600 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 01:58:46,670 basehttp 27914 6125465600 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 01:58:47,066 basehttp 27914 6125465600 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 01:58:47,068 basehttp 27914 6125465600 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 01:59:04,436 basehttp 27914 6125465600 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 01:59:04,438 basehttp 27914 6125465600 "GET /api/movies/ HTTP/1.1" 200 393
WARNING 2025-03-18 02:00:34,674 log 27914 6142291968 Forbidden: /api/myaccount/
WARNING 2025-03-18 02:00:34,676 log 27914 6159118336 Forbidden: /api/myaccount/
WARNING 2025-03-18 02:00:34,677 basehttp 27914 6142291968 "GET /api/myaccount/ HTTP/1.1" 403 58
WARNING 2025-03-18 02:00:34,677 basehttp 27914 6159118336 "GET /api/myaccount/ HTTP/1.1" 403 58
INFO 2025-03-18 02:00:35,519 basehttp 27914 6142291968 "POST /api/logout/ HTTP/1.1" 200 37
INFO 2025-03-18 02:00:40,221 basehttp 27914 6125465600 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 02:00:40,222 basehttp 27914 6125465600 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 02:02:32,208 basehttp 27914 6125465600 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 02:02:32,209 basehttp 27914 6142291968 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 02:03:38,138 basehttp 27914 6142291968 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 02:03:38,139 basehttp 27914 6125465600 "GET /api/movies/ HTTP/1.1" 200 393
WARNING 2025-03-18 02:03:44,254 log 27914 6159118336 Unauthorized: /api/login/
WARNING 2025-03-18 02:03:44,255 basehttp 27914 6159118336 "POST /api/login/ HTTP/1.1" 401 63
INFO 2025-03-18 02:04:19,314 basehttp 27914 6142291968 "POST /api/users/create HTTP/1.1" 201 164
INFO 2025-03-18 02:04:21,255 basehttp 27914 6125465600 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 02:04:21,257 basehttp 27914 6142291968 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 02:04:26,978 basehttp 27914 6159118336 "POST /api/login/ HTTP/1.1" 200 57
WARNING 2025-03-18 02:04:29,220 log 27914 6159118336 Forbidden: /api/myaccount/
WARNING 2025-03-18 02:04:29,222 log 27914 6175944704 Forbidden: /api/myaccount/
WARNING 2025-03-18 02:04:29,222 basehttp 27914 6159118336 "GET /api/myaccount/ HTTP/1.1" 403 58
WARNING 2025-03-18 02:04:29,223 basehttp 27914 6175944704 "GET /api/myaccount/ HTTP/1.1" 403 58
INFO 2025-03-18 02:04:30,174 basehttp 27914 6159118336 "POST /api/logout/ HTTP/1.1" 200 37
INFO 2025-03-18 02:04:30,198 basehttp 27914 6125465600 "GET /api/movies/ HTTP/1.1" 200 393
INFO 2025-03-18 02:04:30,199 basehttp 27914 6142291968 "GET /api/movies/ HTTP/1.1" 200 393
WARNING 2025-03-18 02:04:38,473 log 27914 6159118336 Unauthorized: /api/login/
WARNING 2025-03-18 02:04:38,474 basehttp 27914 6159118336 "POST /api/login/ HTTP/1.1" 401 63
